classificacao_preco_ref;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
COTADO_ACIMA_DA_REFERENCIA;585950;32926;533151;488689;44462;13549;30913;220;116493;144028;6.350437750661319;5.0;30372.485835124495;96.68;17031.23938192997;62.36;29.380238;27.554651;17.81;430.3762;187462;34991;9526;8.339476058377459;91.66052394162254;2.5413063090944217;5.798169749283036;19.88104787097875;24.580254287908524;31.99283215291407;5.971669937707995;1.6257359842990018
COTADO_ABAIXO_DA_REFERENCIA;395302;12716;359286;329403;29883;9367;20516;133;73575;91904;6.2146004826689465;5.0;63.366279667444125;4.85;1029.2014242123407;3.6;-2990.312;28.448277;17.81;-72.362434;134511;32268;9706;8.317329369917003;91.682670630083;2.6071152229700014;5.710214146947001;18.612352075122313;23.249060212192198;34.02740183454675;8.162872942712154;2.4553379441540897
COTADO_PROXIMO_DA_REFERENCIA;65414;8214;60333;55613;4720;1617;3103;34;13731;16590;5.914834744855841;5.0;404.698603376953;17.49;361.41497292041646;12.17;26.009754;23.89922;17.81;0.0;22129;4749;1580;7.823247642252166;92.17675235774784;2.6801253045596938;5.143122337692473;20.990919375057327;25.361543400495307;33.82914972330082;7.259913779924787;2.4153850857614576
SEM_REFERENCIA;82;49;68;65;3;0;3;0;14;15;6.853658536585366;6.0;1998.724015789474;42.0667;1278.3252205882354;43.65;39.687286;46.37917;840.0;;48;3;3;4.411764705882353;95.58823529411765;0.0;4.411764705882353;17.073170731707318;18.29268292682927;58.536585365853654;3.6585365853658534;3.6585365853658534
