faixa_propostas;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
0;53484;4052;24557;0;24557;24533;24;0;0;24557;0.0;0.0;12513.478770805048;20.0;6594.950817145001;15.22;30.206612;27.970354;17.81;23.52611;16741;6789;712;100.0;0.0;99.90226819236877;0.09773180763122533;0.0;45.914666068356894;31.30094981676763;12.693515817814674;1.3312392491212326
1;89952;8057;80482;61412;19070;0;19070;232;89952;89952;1.0;1.0;26410.03064121244;30.26;7926.925695642923;33.844;-15135.957;0.0;17.81;68.64121;34363;11639;4016;23.694739196342038;76.30526080365796;0.0;23.694739196342038;100.0;100.0;38.20148523657061;12.939123087869087;4.464603344005692
3_a_5;324691;15572;306201;290855;15346;0;15346;41;0;15346;3.9290279065326725;4.0;12366.09343998577;26.01;5918.503679208635;19.5;-5.409058;20.832449;17.81;46.939922;120067;27835;9831;5.011740654014846;94.98825934598514;0.0;5.011740654014846;0.0;4.726339812313862;36.978850661090085;8.572766106852361;3.02780181772824
2;113861;9246;105752;94478;11274;0;11274;51;113861;113861;2.0;2.0;10476.554879418765;27.96;3891.096144999319;25.0;-33.24952;4.0866385;17.81;55.923637;44548;13213;5661;10.660791285271202;89.3392087147288;0.0;10.660791285271202;100.0;100.0;39.124897901827666;11.604500223957281;4.971851643670791
6_a_10;295769;14318;277014;270225;6789;0;6789;19;0;6789;7.636899066501222;7.0;14529.187105486166;23.6;9094.540226599553;13.6;35.486958;38.487656;17.81;45.9854;91575;9169;594;2.4507786610063027;97.5492213389937;0.0;2.4507786610063027;0.0;2.295372402111107;30.961662648891537;3.1000544343727707;0.20083240637118832
11_a_20;141954;9637;133686;131864;1822;0;1822;15;0;1822;13.932118855403862;13.0;20852.84695950152;23.46;15536.155781497102;11.5;-69.15469;46.363636;17.81;63.3426;34015;3236;1;1.3628951423484883;98.63710485765151;0.0;1.3628951423484883;0.0;1.2835143778970652;23.961987686151854;2.279611705200276;0.000704453555377094
mais_de_20;27037;3013;25146;24936;210;0;210;29;0;210;27.195546843214853;25.0;86494.16508235251;25.01;64805.2145772502;12.154;45.075645;48.017464;17.81;83.941605;2841;130;0;0.8351228823669768;99.16487711763303;0.0;0.8351228823669768;0.0;0.7767133927580723;10.507822613455636;0.48082257646928284;0.0
