nivel_referencia_preco;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
FAMILIA_TEXTUAL;993080;35735;902996;826402;76594;23994;52600;293;195275;242502;6.190074314254642;5.0;16738.170264585413;26.5;9867.955605640636;18.3;-1117.8319;27.384615;17.81;51.038742;331001;69105;18698;8.482208116093537;91.51779188390647;2.6571546274845073;5.82505348860903;19.66357191767028;24.41918073065614;33.33074878156845;6.958653884883394;1.8828291779111452
DESCRICAO;53611;4285;49790;47318;2472;539;1933;94;8525;10021;7.787972617559829;6.0;22876.91694739248;6.9067;11376.291597850786;5.49;31.543413;31.622396;5.0;51.458332;13112;2903;2114;4.964852379995984;95.03514762000401;1.0825466961237196;3.8823056838722634;15.901587360802822;18.692059465408217;24.457667269776724;5.414933502452855;3.943220607711104
SEM_REFERENCIA;57;37;52;50;2;0;2;0;13;14;6.982456140350878;6.0;1998.724015789474;42.0667;1033.892924528302;19.3;39.687286;46.37917;;;37;3;3;3.8461538461538463;96.15384615384616;0.0;3.8461538461538463;22.807017543859647;24.561403508771928;64.91228070175438;5.263157894736842;5.263157894736842
