tipo_disputa;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
MENOR LANCE;1025809;35273;941189;863658;77531;24326;53205;387;199618;247898;6.319070119291213;5.0;15109.829678559514;25.0;9018.033210844562;17.39;-1061.1729;27.758007;17.81;50.47726;341494;71050;20703;8.237559087494647;91.76244091250535;2.5846030924713315;5.652955995023317;19.459568009249285;24.16609719743149;33.29021289538306;6.926240654936739;2.01821196733505
MAIOR LANCE;3700;324;3070;1841;1229;114;1115;0;1602;1841;4.0381081081081085;3.0;42391.902264783785;10.0;53179.12774175941;10.3;-5070.5;0.0;17.81;0.0;81;132;0;40.03257328990228;59.96742671009771;3.713355048859935;36.31921824104234;43.2972972972973;49.75675675675676;2.189189189189189;3.567567567567568;0.0
MAIOR DESCONTO;6750;687;4838;4678;160;62;98;0;1935;2045;5.85362962962963;4.0;288506.9584682074;4000.0;129866.34394372287;7125.0;70.00943;28.0;17.81;1010.3313;2112;829;112;3.3071517155849524;96.69284828441505;1.281521289789169;2.0256304257957836;28.666666666666668;30.296296296296298;31.288888888888888;12.281481481481482;1.6592592592592592
;10129;0;3509;3383;126;20;106;0;488;566;2.6604798104452563;0.0;6870.549732490118;26.1;6020.686671321099;17.99;30.148275;27.957748;17.81;58.903225;462;0;0;3.590766600170989;96.409233399829;0.5699629524080935;3.0208036477628952;4.817849738374963;5.587915885082436;4.561161022805805;0.0;0.0
MELHOR TÉCNICA E PREÇO;338;93;210;194;16;7;9;0;159;172;4.591715976331361;2.5;511956.0272630177;1250.28;908667.9293269231;1852.525;-12354.227;5.3229537;17.81;6472.431;1;0;0;7.6190476190476195;92.38095238095238;3.3333333333333335;4.285714285714286;47.0414201183432;50.887573964497044;0.2958579881656805;0.0;0.0
MELHOR TÉCNICA;22;9;22;16;6;4;2;0;11;15;2.090909090909091;1.0;90597.72182272728;0.01;122922.35625625;4420.395;0.0;0.0;17.81;-99.943855;0;0;0;27.27272727272727;72.72727272727273;18.181818181818183;9.090909090909092;50.0;68.18181818181817;0.0;0.0;0.0
