uf;cidade;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
GO;GOIÂNIA;277;43;268;242;26;1;25;0;26;46;6.833935018050542;6.0;8441.032394584838;34.22;10738.495061983473;27.200000000000003;36.66721;39.355793;17.81;92.13924407958984;130;0;0;9.701492537313433;90.29850746268657;0.3731343283582089;9.328358208955224;9.386281588447654;16.60649819494585;46.931407942238266;0.0;0.0
MS;SONORA;527;35;362;336;26;2;24;0;94;120;4.358633776091081;4.0;10397.512554079698;39.984;2214.009464285714;24.8;7.25158;0.4356357;17.81;103.6523666381836;107;42;211;7.18232044198895;92.81767955801105;0.5524861878453038;6.629834254143646;17.836812144212523;22.770398481973434;20.30360531309298;7.969639468690702;40.03795066413662
MG;CARVALHOS;662;35;661;635;26;22;4;0;119;141;3.5075528700906347;3.0;2424.293685800604;32.94;2098.1278562204725;20.93;33.351536;35.714287;17.81;83.875732421875;58;0;3;3.9334341906202726;96.06656580937972;3.3282904689863844;0.6051437216338881;17.97583081570997;21.299093655589125;8.761329305135952;0.0;0.4531722054380665
RS;SÃO JOSÉ DO OURO;798;23;792;766;26;0;26;0;82;105;5.943609022556391;5.0;1529.0988408521303;18.795;1426.2725507832897;12.86;19.603764;15.84;17.81;8.787198066711426;0;0;0;3.2828282828282833;96.71717171717171;0.0;3.2828282828282833;10.275689223057643;13.157894736842104;0.0;0.0;0.0
MG;MATIPÓ;210;2;210;185;25;19;6;0;113;132;2.1619047619047618;2.0;803.900238095238;1.105;906.9994594594594;1.05;4.688729;0.86206895;1.04;6.249999761581421;209;0;0;11.904761904761903;88.09523809523809;9.047619047619047;2.857142857142857;53.80952380952381;62.857142857142854;99.52380952380952;0.0;0.0
SC;RIO DAS ANTAS;248;44;244;219;25;0;25;0;85;94;4.669354838709677;3.0;11765.99818548387;18.045;9592.295331963469;17.56;20.871452;12.536443;17.81;1.3194833993911743;0;0;0;10.245901639344263;89.75409836065575;0.0;10.245901639344263;34.274193548387096;37.903225806451616;0.0;0.0;0.0
MG;SÃO LOURENÇO;320;46;289;264;25;2;23;0;38;57;6.85;6.0;3607.4756562499997;178.565;2891.4424359848485;83.22999999999999;33.935;34.902084;17.81;838.8545837402344;272;0;0;8.650519031141869;91.34948096885813;0.6920415224913495;7.958477508650519;11.875;17.8125;85.0;0.0;0.0
CE;PACATUBA;328;44;294;269;25;0;25;0;38;47;20.536585365853657;13.0;202555.4205182927;79.47;146500.7751267658;94.75;35.35075;32.477066;17.81;346.2099914550781;83;0;0;8.503401360544217;91.49659863945578;0.0;8.503401360544217;11.585365853658537;14.329268292682926;25.304878048780488;0.0;0.0
SP;CAJAMAR;1861;97;301;276;25;7;18;0;91;101;12.650725416442773;12.0;14520.976021923698;60.065;12178.131714887832;41.7;25.012861;25.267138;17.81;253.65602111816406;0;0;0;8.305647840531561;91.69435215946844;2.3255813953488373;5.980066445182724;4.889844169801182;5.427189682966147;0.0;0.0;0.0
RS;SÃO JOÃO DO POLÊSINE;445;10;437;412;25;20;5;0;58;80;4.323595505617978;4.0;327.5481438202247;28.67;296.37806334951455;25.8;15.827363;7.3964233;17.81;53.90230178833008;219;0;0;5.720823798627003;94.27917620137299;4.576659038901601;1.1441647597254003;13.03370786516854;17.97752808988764;49.21348314606742;0.0;0.0
SP;TURMALINA;503;13;502;477;25;22;3;0;20;43;5.79324055666004;6.0;755.4036731610338;31.27;518.3470681341719;15.0;39.566597;43.903965;17.81;76.82930755615234;0;0;0;4.9800796812749;95.0199203187251;4.382470119521913;0.5976095617529881;3.9761431411530817;8.548707753479125;0.0;0.0;0.0
PR;FIGUEIRA;732;44;664;639;25;14;11;0;160;175;5.060109289617486;4.0;5333.701361065574;31.299999999999997;5108.433132238805;18.84;34.10663;32.54113;17.81;82.87478637695312;224;89;0;3.7650602409638556;96.23493975903614;2.108433734939759;1.6566265060240966;21.85792349726776;23.90710382513661;30.601092896174865;12.158469945355192;0.0
SP;SANTANA DA PONTE PENSA;779;4;779;754;25;19;6;0;115;135;7.06803594351733;4.0;42.166567522464696;10.43;24.40193633952255;4.66;45.660706;51.45778;17.81;-18.360471725463867;0;0;0;3.209242618741977;96.79075738125802;2.4390243902439024;0.7702182284980745;14.762516046213095;17.329910141206675;0.0;0.0;0.0
SP;NOVAIS;987;16;985;960;25;10;15;0;64;80;6.786220871327254;6.0;1796.3945086119554;11.0;1369.9792521875;4.465;48.029915;50.534912;17.81;-37.84390640258789;0;0;0;2.5380710659898478;97.46192893401016;1.015228426395939;1.5228426395939088;6.484295845997974;8.105369807497468;0.0;0.0;0.0
PR;RIO BONITO DO IGUAÇU;1607;76;1510;1485;25;7;18;0;148;166;7.168637212196639;6.0;13116.029875544495;50.42;9256.279009152086;26.0;38.720757;40.469154;17.81;183.09938049316406;1211;560;0;1.6556291390728477;98.34437086092716;0.4635761589403974;1.1920529801324504;9.209707529558182;10.329807093963908;75.35780958307406;34.847542003733665;0.0
CE;GUARAMIRANGA;53;3;31;7;24;0;24;7;29;53;0.9622641509433962;1.0;25.15490566037736;6.38;;;;;17.81;-64.17742919921875;0;0;0;77.41935483870968;22.58064516129032;0.0;77.41935483870968;54.71698113207547;100.0;0.0;0.0;0.0
MT;PARANAÍTA;488;19;487;463;24;9;15;0;42;59;8.350409836065573;6.0;4681.964897540984;52.415;4439.139352051836;22.5;43.78901;45.925495;17.81;194.3009490966797;0;0;0;4.9281314168377826;95.07186858316223;1.8480492813141685;3.0800821355236137;8.60655737704918;12.09016393442623;0.0;0.0;0.0
