resultado_final_normalizado;classificacao_preco_ref;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
ADJUDICADO;SEM_REFERENCIA;12;8;12;12;0;0;0;0;2;2;10.75;9.0;1047.4025;769.4300000000001;1639.2191666666668;1384.0;38.52775;37.026047;840.0;;7;0;0;0.0;100.0;0.0;0.0;16.666666666666664;16.666666666666664;58.333333333333336;0.0;0.0
REVOGADO;COTADO_ACIMA_DA_REFERENCIA;21114;1108;0;0;0;0;0;0;4542;4542;4.687411196362603;3.0;85801.65253004168;134.845;;;;;17.81;635.5418090820312;4248;836;194;;;;;21.511793123046317;21.511793123046317;20.11935208866155;3.9594581794070285;0.9188216349341669
REVOGADO;COTADO_ABAIXO_DA_REFERENCIA;11981;414;0;0;0;0;0;0;2102;2102;3.971204406977715;3.0;76.86117027794008;4.68;;;;;17.81;-73.32958984375;2573;1010;289;;;;;17.544445371838744;17.544445371838744;21.475669810533343;8.430014189132793;2.412152574910275
ANULADO;COTADO_ACIMA_DA_REFERENCIA;9807;638;0;0;0;0;0;0;2054;2054;5.340878964005302;3.0;436566.4871158968;128.75;;;;;17.81;596.0134887695312;2104;359;38;;;;;20.944223513816663;20.944223513816663;21.454063424084836;3.6606505557255025;0.3874783318038136
EM ADJUDICACAO;COTADO_ACIMA_DA_REFERENCIA;7662;526;0;0;0;0;0;0;1215;1215;7.279691986426521;5.0;13953.437212098668;96.79499999999999;11379.699507855325;61.605000000000004;31.091997;29.14024;17.81;453.22479248046875;3958;513;184;;;;;15.857478465152703;15.857478465152703;51.65753067084312;6.695379796397807;2.401461759331767
ANULADO;COTADO_ABAIXO_DA_REFERENCIA;6866;216;0;0;0;0;0;0;1347;1347;4.29595106321002;3.0;30.058592499271775;3.51;;;;;17.81;-80.005615234375;1294;766;9;;;;;19.618409554325662;19.618409554325662;18.84648995048063;11.156422953684823;0.13108068744538304
SUSPENSO;COTADO_ABAIXO_DA_REFERENCIA;6697;96;0;0;0;0;0;0;621;621;2.1929222039719276;0.0;7.909960668956249;0.12;3.040827804878049;1.9;-3.714479;26.31579;17.81;-99.21392822265625;980;3264;0;;;;;9.272808720322532;9.272808720322532;14.633417948335076;48.738241003434375;0.0
SUSPENSO;COTADO_ACIMA_DA_REFERENCIA;5024;221;0;0;0;0;0;0;1191;1191;3.4388933121019107;1.0;40348.92160690685;90.02;109230.7782872159;47.8;51.97734;56.61378;17.81;394.10443115234375;1449;211;0;;;;;23.706210191082803;23.706210191082803;28.841560509554142;4.19984076433121;0.0
EM ADJUDICACAO;COTADO_ABAIXO_DA_REFERENCIA;4037;211;0;0;0;0;0;0;798;798;6.687887044835274;5.0;29.491490215506566;5.28;2876.284480939072;3.32;-690.85675;29.424046;17.81;-70.12914276123047;2241;200;14;;;;;19.76715382709933;19.76715382709933;55.51151845429775;4.954173891503592;0.3467921724052514
HABILITACAO;COTADO_ACIMA_DA_REFERENCIA;3907;313;0;0;0;0;0;0;1361;1361;3.5764013309444587;2.0;22002.352381110828;150.0;-62624.14949442468;150.6;167.50912;25.0;17.81;742.2234497070312;401;215;90;;;;;34.83491169695419;34.83491169695419;10.263629383158433;5.502943434860507;2.3035577169183514
;COTADO_ACIMA_DA_REFERENCIA;3469;0;0;0;0;0;0;0;0;0;0.0;0.0;11967.565948659556;85.87;10647.358613310345;54.0;30.645536;28.597435;17.81;399.7192687988281;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
HABILITACAO;COTADO_ABAIXO_DA_REFERENCIA;2816;151;0;0;0;0;0;0;898;898;5.755326704545454;2.0;112.53496732954545;5.9399999999999995;10430.552551376146;4.04;1.1897626;20.601555;17.81;-66.45143127441406;190;69;53;;;;;31.889204545454547;31.889204545454547;6.747159090909091;2.450284090909091;1.8821022727272727
;COTADO_ABAIXO_DA_REFERENCIA;2608;0;0;0;0;0;0;0;0;0;0.0;0.0;5.669521242331288;4.8;2048.180753687739;3.5;29.418194;27.804878;17.81;-72.23469924926758;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
