descricao_hash;descricao_exemplo;unidade;familia_textual;itens;processos;elegiveis_modelagem;insucesso_qtd;deserto_qtd;fracassado_qtd;baixa_comp_qtd;propostas_media;valor_cotado_mediano;valor_homologado_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;desconto_pct_mediano;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct
10066195598438828105;LUBRIFICACAO (ENGRAXAR);SVR;de / com / para / em / do;6;1;6;6;0;6;0;3.0;94.2;;17.81;428.9163360595703;;0;0;0;100.0;0.0;100.0;0.0
11455179043851326544;MANUTENÇÃO DE MAQUINA DE COSTURA;serv;de / com / para / em / do;6;1;6;6;3;3;3;0.5;1500.0;;17.81;8322.234375;;0;0;0;100.0;50.0;50.0;50.0
13944442846762970599;Etanol, aplicação veículo automotivo;LITRO;de / com / para / em / do;6;1;6;6;0;6;6;1.0;4.79;;17.81;-73.10499572753906;;0;0;0;100.0;0.0;100.0;100.0
17318189887346045882;Concreto usinado 20 MPA;METRO CUBICO;de / com / para / em / do;6;3;6;6;4;2;2;0.3333333333333333;530.0;;17.81;2875.856201171875;;3;0;0;100.0;66.66666666666666;33.33333333333333;33.33333333333333
13176489911562933920;contratação de prestação de serviço especializado para aulas de capoeira em turno inverso para os alunos da rede municipal de educação.;UN;de / com / para / em / do;7;2;7;6;6;0;0;0.7142857142857143;70.0;4020.0;17.81;293.0376281738281;8.967391014099121;0;0;0;85.71428571428571;85.71428571428571;0.0;0.0
3849257008861410782;lápis de cor , 11.1200n+2g, 12 cores;CX;de / com / para / em / do;11;1;11;6;6;0;5;0.45454545454545453;7.46;9.43;9.43;-20.89077377319336;0.24242424964904785;0;0;0;54.54545454545454;54.54545454545454;0.0;45.45454545454545
15519048937822260581;pincel marcador de quadro branco marcador para quadro branco, com tinta de fácil remoção a seco. possui ponta de poliéster macia que não danifica a superfície de escrita, com espessura de escrita de aproximadamente 2,3 mm. corpo cilíndrico resistente, com tampa de vedação para ev;UN;de / com / para / em / do;11;1;11;6;6;0;5;0.45454545454545453;4.47;4.79;4.79;-6.68058443069458;0.26156941056251526;0;0;0;54.54545454545454;54.54545454545454;0.0;45.45454545454545
129175388509185541;apontador simples de plástico - cores sortidas;UN;de / com / para / em / do;12;2;12;6;6;0;6;0.5;0.755;0.7090000000000001;0.7090000000000001;6.488011479377747;0.26300905644893646;0;0;0;50.0;50.0;0.0;50.0
260843313270979220;papel cartolina 140g, 500x660mm – verde;UN;de / com / para / em / do;12;2;12;6;6;0;6;0.5;1.29;1.2885;1.2885;0.11641442775726318;0.24038461595773697;0;0;0;50.0;50.0;0.0;50.0
1938778938488598639;papel cartolina 140g, 500x660mm – azul;UN;de / com / para / em / do;12;2;12;6;6;0;6;0.5;1.295;1.2934999999999999;1.2934999999999999;0.11596444249153137;0.24038461595773697;0;0;0;50.0;50.0;0.0;50.0
5682734564112104956;papel cartolina 140g, 500x660mm – branca;UN;de / com / para / em / do;12;2;12;6;6;0;6;0.5;1.2850000000000001;1.2835;1.2835;0.11686795949935913;0.24038461595773697;0;0;0;50.0;50.0;0.0;50.0
10716448247398280743;CONJ. ESCOLAR INFANTIL CARTEIRA E CADEIRA;UNIDADE;de / com / para / em / do;12;2;12;6;0;6;6;2.0;5.0;15.0;15.0;-66.66666412353516;0.0;0;0;0;50.0;0.0;50.0;50.0
12074262715940442627;CADEIRA GIRATÓRIA CONFORTÁVEL;UNIDADE;de / com / para / em / do;12;2;12;6;0;6;6;2.0;6.5;10.0;10.0;-35.0;0.0;0;0;0;50.0;0.0;50.0;50.0
16183921633429068425;papel cartolina 140g, 500x660mm – rosa;UN;de / com / para / em / do;12;2;12;6;6;0;6;0.5;1.29;1.2885;1.2885;0.11641442775726318;0.24038461595773697;0;0;0;50.0;50.0;0.0;50.0
6694317409772268149;MESA;UNIDADE;de / com / para / em / do;13;3;13;6;0;6;6;2.1538461538461537;5.0;5.0;5.0;0.0;0.0;0;0;0;46.15384615384615;0.0;46.15384615384615;46.15384615384615
18350739863139630354;CADEIRA UNIVERSITÁRIA;Unidade;de / com / para / em / do;13;3;13;6;0;6;6;2.6153846153846154;5.0;5.0;5.0;0.0;0.0;0;0;0;46.15384615384615;0.0;46.15384615384615;46.15384615384615
1044274116284386699;BANDEJA;UNIDADE;de / com / para / em / do;18;4;17;6;0;6;1;4.222222222222222;420.0;118.1;118.1;255.6308135986328;65.12775421142578;9;0;0;35.294117647058826;0.0;35.294117647058826;5.555555555555555
