regiao;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
Sudeste;341283;13375;313374;281480;31894;8349;23545;155;63033;82245;6.420445788392624;5.0;27387.600795195733;24.06655;9696.459728116977;15.4225;-3218.8945;29.477911;17.81;51.880966;98948;14555;1872;10.17761524568088;89.82238475431912;2.6642286852131956;7.513386560467684;18.4694227371419;24.09876847074129;28.992947202175323;4.264789046040969;0.5485183850352934
Sul;341469;13829;318214;289960;28254;11835;16419;74;82936;100589;5.488917002714741;4.0;6926.2085448565995;29.54;5157.051894371493;19.79;-64.92112;25.0;17.81;63.952835;174206;32042;11780;8.878930531026292;91.12106946897372;3.719195258536708;5.159735272489582;24.288002717669833;29.457725298636188;51.01663694215287;9.38357508295043;3.4498007139740356
Centro-Oeste;130642;3993;121822;111914;9908;3300;6608;147;26352;32475;6.281142358506453;5.0;10007.303685902694;25.64;8089.891203865087;15.8;29.639223;29.651163;17.81;58.73016;34079;6097;3289;8.133177915319072;91.86682208468093;2.7088703189900016;5.42430759632907;20.17115475880651;24.858008909845225;26.085791705577073;4.666952434898425;2.5175670917469115
Nordeste;203400;4806;178099;169784;8315;708;7607;8;25453;30692;7.684616519174042;6.0;22091.95386718568;22.46;19955.757374200377;17.38;25.15161;28.75;17.81;34.362717;30060;9844;506;4.668751649363556;95.33124835063644;0.39753170989168946;4.271219939471867;12.513765978367749;15.089478859390365;14.778761061946902;4.839724680432645;0.2487708947885939
Norte;19825;383;17820;17249;571;321;250;3;5551;5970;4.494022698612863;3.0;13425.751694466582;9.83;11543.296294373064;29.375;-1.5922203;17.655373;17.81;-34.60838;6395;9473;3368;3.204264870931538;96.79573512906846;1.8013468013468013;1.4029180695847363;28.000000000000004;30.113493064312735;32.25725094577553;47.78310214375788;16.988650693568726
;10129;0;3509;3383;126;20;106;0;488;566;2.6604798104452563;0.0;6870.549732490118;26.1;6020.686671321099;17.99;30.148275;27.957748;17.81;58.903225;462;0;0;3.590766600170989;96.409233399829;0.5699629524080935;3.0208036477628952;4.817849738374963;5.587915885082436;4.561161022805805;0.0;0.0
