modalidade;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
PREGÃO ELETRÔNICO;972780;26541;895611;823720;71891;21909;49982;0;188206;232930;6.254786282612718;5.0;12393.31020042004;23.925;5671.23357880401;16.2;-1124.7288;28.93401;17.81;45.255474;329943;70375;20245;8.027034058313264;91.97296594168674;2.4462629422818614;5.580771116031402;19.347231645387446;23.94477682518144;33.91753531117005;7.234420937930468;2.081148872304118
DISPENSA ELETRÔNICA;29899;6204;28272;23366;4906;2253;2653;0;9130;12201;4.452791063246263;3.0;1947.281209675909;55.0;2250.698209589041;52.99;12.815273;13.726961;17.81;203.20045;12564;1223;386;17.352857951329938;82.64714204867006;7.969015280135823;9.383842671194115;30.536138332385697;40.80738486236998;42.02147229004314;4.090437807284525;1.291013077360447
LEILÃO ELETRÔNICO;2646;101;2566;1566;1000;69;931;0;1095;1272;4.325774754346183;3.0;17218.797951625096;5.0;22020.35072694947;10.3;-51.31211;0.0;17.81;-2.9126213;18;0;0;38.97116134060795;61.02883865939205;2.6890101325019486;36.282151208106;41.383219954648524;48.07256235827664;0.6802721088435374;0.0;0.0
CONCORRÊNCIA ELETRÔNICA;23450;3054;20792;20050;742;66;676;0;2028;2414;11.871428571428572;9.0;232108.0505576631;124.00999999999999;195361.89459323965;100.38;-109.45001;15.000528;17.81;467.13922;262;127;12;3.5686802616390922;96.43131973836091;0.31742978068487876;3.251250480954213;8.648187633262259;10.294243070362473;1.11727078891258;0.5415778251599147;0.0511727078891258
CREDENCIAMENTO;6281;305;619;387;232;166;66;387;2439;2629;3.6967043464416496;2.0;17194.55200754657;25.0;9452.125806451613;962.7;0.0;0.0;17.81;48.399776;182;182;161;37.47980613893376;62.52019386106623;26.81744749596123;10.662358642972535;38.831396274478585;41.85639229422067;2.8976277662792547;2.8976277662792547;2.563286100939341
;10129;0;3509;3383;126;20;106;0;488;566;2.6604798104452563;0.0;6870.549732490118;26.1;6020.686671321099;17.99;30.148275;27.957748;17.81;58.903225;462;0;0;3.590766600170989;96.409233399829;0.5699629524080935;3.0208036477628952;4.817849738374963;5.587915885082436;4.561161022805805;0.0;0.0
LICITAÇÃO 13.303;1151;67;1098;992;106;32;74;0;270;333;4.973935708079931;4.0;21442.24748748914;29.01;19668.09325754527;19.645000000000003;28.990396;25.008198;17.81;64.12128;719;104;11;9.65391621129326;90.34608378870675;2.914389799635701;6.739526411657559;23.457862728062555;28.931364031277152;62.46741963509991;9.035621198957429;0.9556907037358819
SELEÇÃO PÚBLICA;412;114;371;306;65;18;47;0;157;192;4.296116504854369;3.0;106073.57507160194;17.795;79616.5330514658;1290.0;18.302233;9.198113;17.81;-32.900574;0;0;0;17.52021563342318;82.47978436657682;4.8517520215633425;12.668463611859837;38.10679611650485;46.601941747572816;0.0;0.0;0.0
