faixa_valor_estimado;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
Até R$100;725262;17269;665564;611044;54520;17861;36659;281;138586;171716;6.263697808516095;5.0;22.357494499642886;12.73;16.699846614429358;8.0;-1481.0115;28.624338;17.81;-15.440763473510742;249723;47697;12782;8.191548821751176;91.80845117824883;2.6835886556364223;5.507960166114754;19.108404962620405;23.67640935275804;34.43210867245216;6.5765199334861055;1.7623975887334509
R$100 a R$1 mil;197743;16554;180344;164056;16288;4615;11673;77;42017;52199;5.9190059825126555;5.0;332.4781014847555;250.0;238.3578472233163;171.375;28.196163;25.548067;17.81;1247.5574951171875;64501;11821;3750;9.031628443419242;90.96837155658075;2.558998358692277;6.4726300847269655;21.248286917868143;26.397394598038872;32.61860091128384;5.97796129319369;1.8964008839756654
R$1 mil a R$10 mil;68467;11348;61003;55795;5208;1203;4005;16;13137;16494;7.1057589787780975;5.0;3189.1057028188766;2469.8;2270.7849115782474;1654.9;28.126938;25.348864;17.81;13375.5751953125;18833;3090;574;8.537285051554841;91.46271494844515;1.9720341622543154;6.565250889300526;19.18734572859918;24.09043772912498;27.50668205120715;4.513123110403552;0.8383600858807893
Sem valor/zero;30711;1252;25076;23554;1522;529;993;0;6518;7510;4.372798020253329;3.0;-0.0003992048491168611;0.0;13775.203338501662;19.36;;;17.81;-100.0;7664;8293;3570;6.069548572340086;93.93045142765992;2.109586855957888;3.959961716382198;21.22366578750285;24.45377877633421;24.955227768551985;27.003353847155743;11.624499365048354
R$10 mil a R$100 mil;15636;5998;13280;12272;1008;236;772;4;2659;3318;8.587938091583526;6.0;31988.80495686237;21972.0;17066.698945439508;14960.0;34.332806;24.982658;17.81;114502.5;3308;893;108;7.590361445783132;92.40963855421687;1.7771084337349399;5.813253012048192;17.005628037861346;21.220260936300843;21.156305960603735;5.711179329751855;0.6907137375287797
R$100 mil a R$1 milhão;6968;4356;5931;5477;454;76;378;4;723;1066;9.701061997703789;7.0;329169.19818059704;250821.94;260946.99325561285;190085.5;22.116093;17.497314;17.81;1267267.5625;116;197;22;7.654695666835272;92.34530433316472;1.2814027988534817;6.373292867981791;10.376004592422502;15.298507462686567;1.6647531572904706;2.8272101033295063;0.3157290470723306
Acima de R$1 milhão;1961;1617;1640;1572;68;13;55;5;173;234;14.896991330953595;10.0;7523843.498396737;2338134.17;4156413.7571806707;1798300.0;20.538006;18.012896;17.81;12379989.0;5;20;9;4.146341463414634;95.85365853658536;0.7926829268292683;3.353658536585366;8.822029576746559;11.932687404385518;0.25497195308516063;1.0198878123406425;0.4589495155532891
