feature;coeficiente;odds_ratio_aprox;abs_coeficiente
num__tem_valor_homologado;-3.5808606265091063;0.027851718010865844;3.5808606265091063
num__sem_proposta;0.5513898564970167;1.7356636656744562;0.5513898564970167
num__cotado_acima_mediana_desc_15pct;0.47870826294185564;1.6139882066969615;0.47870826294185564
num__cotado_abaixo_mediana_desc_15pct;0.24721644738635115;1.280456234191313;0.24721644738635115
cat__modalidade_PREGÃO ELETRÔNICO;0.24354370416678434;1.2757620727406986;0.24354370416678434
num__baixa_competitividade;0.22624450474135635;1.253882207946037;0.22624450474135635
cat__familia_textual_ml_FAMILIA_13;0.2218503442218299;1.248384535924465;0.2218503442218299
cat__tipo_disputa_MENOR LANCE;0.20877948447805553;1.2321732552410438;0.20877948447805553
cat__regiao_Sudeste;0.20449252623168043;1.2269022862280552;0.20449252623168043
cat__uf_SP;0.1902091319124305;1.2095025167840239;0.1902091319124305
cat__tipo_encerramento_ABERTO;0.1791214235898011;1.1961659781173524;0.1791214235898011
cat__grupo_exclusividade_regionalidade_SEM_CRITERIO;0.17698588790710384;1.193614248613125;0.17698588790710384
num__ExclLocal;0.17362855249526155;1.1896136047376908;0.17362855249526155
cat__classificacao_preco_ref_COTADO_PROXIMO_DA_REFERENCIA;0.1569911228116335;1.1699852276755613;0.1569911228116335
num__participacao_unica;0.15558091093972073;1.1683364634442184;0.15558091093972073
cat__nivel_referencia_preco_DESCRICAO;0.15469939828194285;1.1673070138662278;0.15469939828194285
num__valor_cotado_log;0.15444967457490102;1.1670155460261988;0.15444967457490102
cat__tipo_lote_calc_Lote unitário;0.15305760342160946;1.1653921075822131;0.15305760342160946
cat__tipo_lance_UNITÁRIO;0.1361052647017716;1.1458024998053933;0.1361052647017716
num__qtd_itens_lote;0.13179062298529404;1.1408694224245175;0.13179062298529404
cat__tipo_encerramento_ABERTO E FECHADO;0.11788221224854997;1.1251115791991182;0.11788221224854997
cat__tipo_lance_GLOBAL;0.10654334871542671;1.112426147645021;0.10654334871542671
num__numero_propostas;-0.10526513284524419;0.9000858486255005;0.10526513284524419
num__ExclMe;0.09087389974236676;1.0951309002624454;0.09087389974236676
num__criterio_me_epp;0.09079198944558685;1.095041201439071;0.09079198944558685
cat__nivel_referencia_preco_FAMILIA_TEXTUAL;0.08557449763041748;1.0893427117720105;0.08557449763041748
cat__tipo_lote_calc_Lote global;0.08034067529879028;1.0836561796905175;0.08034067529879028
cat__classificacao_preco_ref_COTADO_ABAIXO_DA_REFERENCIA;0.07507605913177716;1.0779661369351585;0.07507605913177716
cat__grupo_exclusividade_regionalidade_SOMENTE_ME_EPP;0.06564024688315183;1.0678424883928856;0.06564024688315183
num__valor_homologado_log;0.06556352170543694;1.0677605611311742;0.06556352170543694
cat__modalidade_CREDENCIAMENTO;-0.0628473655635671;0.939086799735049;0.0628473655635671
cat__tipo_encerramento_FECHADO;-0.0528947793455115;0.9484798068980402;0.0528947793455115
cat__uf_RS;0.050550775477042696;1.0518502701983596;0.050550775477042696
cat__tipo_disputa_MAIOR LANCE;0.03462636618585285;1.0352328385362253;0.03462636618585285
cat__modalidade_LEILÃO ELETRÔNICO;0.032421957560870227;1.0329532758050757;0.032421957560870227
cat__regiao_Nordeste;0.029907816802130623;1.0303595477374519;0.029907816802130623
cat__uf_BA;0.0283945425921684;1.0288015103730785;0.0283945425921684
txt__mg;0.02827239844468268;1.0286758559637936;0.02827239844468268
cat__modalidade_DISPENSA ELETRÔNICA;0.028188272263680366;1.0285893210325197;0.028188272263680366
cat__grupo_exclusividade_regionalidade_ME_EPP_E_REGIONAL_LOCAL;-0.022660541097598172;0.9775942805358735;0.022660541097598172
num__ArqReq;0.02093097137616532;1.0211515605176549;0.02093097137616532
cat__uf_SC;-0.020739825168678883;0.9794737658433949;0.020739825168678883
cat__grupo_exclusividade_regionalidade_SOMENTE_REGIONAL_LOCAL;0.020275941849518347;1.0204828951160334;0.020275941849518347
num__descricao_qtd_palavras;0.018066046433567372;1.018230224643904;0.018066046433567372
cat__uf_GO;-0.017895777523758278;0.9822634009476225;0.017895777523758278
num__RegExcl;-0.016222379673513355;0.983908494475238;0.016222379673513355
cat__regiao_Sul;0.01498932793553865;1.0151022313214648;0.01498932793553865
cat__uf_PR;-0.014821622372847953;0.9852876772066906;0.014821622372847953
txt__de;0.014663298536786046;1.0147713320956835;0.014663298536786046
cat__uf_MS;0.01439699358396185;1.0145011294437114;0.01439699358396185
num__desvio_cotado_vs_ref_preferida_pct;-0.014307273351871477;0.9857945893125393;0.014307273351871477
num__descricao_tam_caracteres;0.013556243149613562;1.0136485456338107;0.013556243149613562
num__criterio_local;-0.012367973322168236;0.9877081957176157;0.012367973322168236
cat__regiao_Norte;-0.011761825718326;0.9883070741597753;0.011761825718326
num__Regional;0.01142948558422568;1.0114950517121897;0.01142948558422568
txt__comprimido;0.010968393961958567;1.0110287673260538;0.010968393961958567
cat__uf_CE;0.010325244759808058;1.010378734037599;0.010325244759808058
cat__uf_RJ;0.008878854193520703;1.0089183881381683;0.008878854193520703
cat__uf_MG;0.008644885449511615;1.0086823603827235;0.008644885449511615
txt__ml;0.008619429052228017;1.0086566832906492;0.008619429052228017
num__criterio_regional_ou_local;-0.008455479448550572;0.9915801675761527;0.008455479448550572
txt__para;0.008325483399557115;1.0083602366152986;0.008325483399557115
cat__uf_AM;-0.008262603842089489;0.9917714376474013;0.008262603842089489
cat__classificacao_preco_ref_COTADO_ACIMA_DA_REFERENCIA;0.008253356026187373;1.0082875088628835;0.008253356026187373
txt__25mg;0.007488263122398133;1.007516370278819;0.007488263122398133
cat__uf_PI;-0.007345299334804259;0.9926816114467943;0.007345299334804259
txt__em;0.006863103216001574;1.006886708279308;0.006863103216001574
cat__tipo_lote_calc_Lote global/kit;0.006843256821659442;1.0068667254069323;0.006843256821659442
num__MEExclusivo;0.006819685820918045;1.0068429928303027;0.006819685820918045
txt__com;0.006736693127759965;1.0067594356861045;0.006736693127759965
num__desvio_cotado_vs_ref_homologado_familia_pct;-0.006510368178538868;0.9935107783529165;0.006510368178538868
txt__cloridrato;0.006358614787768764;1.006378873695546;0.006358614787768764
txt__5mg;0.005740477140112797;1.0057569852520405;0.005740477140112797
cat__uf_MT;0.0056744299984138056;1.0056905600715416;0.0056744299984138056
txt__100mg;0.005652672360195597;1.0056686788582188;0.005652672360195597
txt__10mg;0.005632587810686692;1.0056484806586852;0.005632587810686692
txt__50mg;0.0055483663544050495;1.0055637870456966;0.0055483663544050495
num__desvio_cotado_vs_ref_homologado_desc_pct;-0.0055104000288333605;0.9945047543770154;0.0055104000288333605
cat__familia_textual_ml_FAMILIA_10;0.005429254680159004;1.005444019792441;0.005429254680159004
num__criterio_regional;-0.005278381057886865;0.9947355251172868;0.005278381057886865
txt__cloridrato de;0.005248854465958682;1.0052626538356246;0.005248854465958682
txt__500mg;0.005231366043528409;1.0052450735314074;0.005231366043528409
txt__gasolina;0.005082237209610166;1.005095173683262;0.005082237209610166
txt__frasco;0.005067660995702306;1.0050805233077864;0.005067660995702306
txt__onibus;0.005027619592868336;1.005040279279391;0.005027619592868336
txt__cadeira;0.004928745634726099;1.0049409118813912;0.004928745634726099
txt__25;0.00478930559221164;1.004800792647257;0.00478930559221164
txt__10;0.004758590544675138;1.004769930617113;0.004758590544675138
txt__100;0.0047014926649625675;1.004712562022304;0.0047014926649625675
txt__20mg;0.004666892916048359;1.0046777998213123;0.004666892916048359
txt__solucao;0.004180823361345134;1.0041895751957086;0.004180823361345134
txt__comum;0.004114838698803758;1.0041233162715222;0.004114838698803758
txt__diesel;0.004026457184686242;1.004034574254104;0.004026457184686242
txt__cm;0.00382061128045586;1.0038279191195743;0.00382061128045586
txt__25 mg;0.0038194041234802505;1.003826707342431;0.0038194041234802505
txt__sonda;0.0036772005721117254;1.0036839697688236;0.0036772005721117254
txt__10 mg;0.003625467151662935;1.0036320471070979;0.003625467151662935
txt__100 mg;0.0036252435015317816;1.003631822644684;0.0036252435015317816
cat__uf_PB;-0.003604734963838754;0.9964017542935483;0.003604734963838754
txt__injetavel;0.0035917038247809314;1.0035981617222671;0.0035917038247809314
txt__300;0.0035102672625584503;1.0035164354659214;0.0035102672625584503
txt__dosagem;0.0034891641008537545;1.0034952583197636;0.0034891641008537545
cat__familia_textual_ml_FAMILIA_14;0.0034277468102372746;1.0034336282524465;0.0034277468102372746
cat__tipo_encerramento_FECHADO E ABERTO;-0.0033236345175320825;0.9966818826416383;0.0033236345175320825
cat__uf_ES;-0.0032403453239741144;0.9967648989290091;0.0032403453239741144
cat__familia_textual_ml_FAMILIA_02;0.0031882450093821185;1.0031933328681786;0.0031882450093821185
txt__esteril;0.003172409457129521;1.0031774468735186;0.003172409457129521
cat__regiao_Centro-Oeste;0.003157376724555278;1.0031623664885851;0.003157376724555278
txt__ampola;0.0031204647885647854;1.0031253385069168;0.0031204647885647854
txt__de parede;0.003111259193089193;1.003116104183343;0.003111259193089193
txt__projeto;-0.003089306976887467;0.9969154600217404;0.003089306976887467
txt__valvula;0.0029320765918367207;1.002936379332701;0.0029320765918367207
txt__mg ml;0.0028833894509573926;1.0028875504165873;0.0028833894509573926
txt__20;0.0028560308737426337;1.0028601132154247;0.0028560308737426337
txt__parede;0.0027093681971077045;1.0027130418521335;0.0027093681971077045
txt__escolar;0.002678152092017299;1.002681741544983;0.002678152092017299
txt__tubo;0.0026268429812751973;1.0026302961562867;0.0026268429812751973
txt__via;0.0026141152627858445;1.0026175350413387;0.0026141152627858445
cat__tipo_disputa_MAIOR DESCONTO;-0.002603403954969393;0.9973999819621663;0.002603403954969393
txt__agulha;0.002589394359818583;1.0025927497369003;0.002589394359818583
txt__mg comprimido;0.0025554729910663094;1.002558740995343;0.0025554729910663094
txt__500 mg;0.0025470162739602326;1.0025502626755376;0.0025470162739602326
txt__kit;0.0025069085073225845;1.0025100534299165;0.0025069085073225845
txt__50;0.0024792670535097516;1.0024823429775582;0.0024792670535097516
txt__cateter;0.002453934737827275;1.0024569481000367;0.002453934737827275
cat__uf_PA;-0.0024487057709228154;0.9975542898634122;0.0024487057709228154
txt__conjunto;0.002434497550654305;1.0024374633460686;0.002434497550654305
txt__campo;0.002433965375571207;1.0024369298739702;0.002433965375571207
cat__tipo_lance_KIT;-0.0024070778750156373;0.9975958168138862;0.0024070778750156373
cat__familia_textual_ml_FAMILIA_19;0.002388131534357155;1.0023909853918134;0.002388131534357155
txt__cores;-0.0023350458618107005;0.9976676782370666;0.0023350458618107005
txt__bomba;0.0023021528798170482;1.002304804868462;0.0023021528798170482
txt__20 mg;0.0022941049131795285;1.0022967383852912;0.0022941049131795285
txt__conector;0.0022933631475735737;1.0022959949163195;0.0022933631475735737
txt__me epp;0.0022906417259939845;1.0022932672500813;0.0022906417259939845
cat__uf_RN;0.0022583710984958507;1.0022609231392952;0.0022583710984958507
txt__40;0.002254623828383719;1.0022571674039302;0.002254623828383719
txt__50 mg;0.0022039144664246176;1.0022063448710523;0.0022039144664246176
cat__modalidade_CONCORRÊNCIA ELETRÔNICA;-0.002196779009610528;0.9978056321434846;0.002196779009610528
txt__capsula;0.0021659820655757006;1.002168329499257;0.0021659820655757006
txt__consumo;-0.0021586859720542956;0.9978436423148606;0.0021586859720542956
txt__uso;0.002149183995851722;1.0021514951471757;0.002149183995851722
cat__familia_textual_ml_FAMILIA_09;0.0021460132613676116;1.0021483175959092;0.0021460132613676116
txt__descartavel;0.002135445793914735;1.0021377274821355;0.002135445793914735
txt__me;0.0021345452123465573;1.0021368249757758;0.0021345452123465573
cat__familia_textual_ml_FAMILIA_16;0.002094552220521222;1.0020967473273446;0.002094552220521222
txt__epp;0.0020939299580790345;1.0020961237603692;0.0020939299580790345
txt__produtos;0.0020724111993177955;1.0020745601276386;0.0020724111993177955
txt__unidades;0.0020626311985100488;1.0020647598855543;0.0020626311985100488
txt__concentracao;0.002059605625104154;1.0020617280696524;0.002059605625104154
txt__da;-0.0020521302537983258;0.9979499739258946;0.0020521302537983258
txt__15;0.002051698017359653;1.0020538041899005;0.002051698017359653
txt__litros;0.0020429829316135238;1.002045071243129;0.0020429829316135238
txt__agricultura;-0.0020304348269057884;0.9979716251114613;0.0020304348269057884
txt__sabor;-0.0020228579887519235;0.997979186609593;0.0020228579887519235
txt__cod;0.002014645781385092;1.002016676543724;0.002014645781385092
txt__oral;0.002005682845937891;1.0020076955731831;0.002005682845937891
txt__mm;0.0019801545929049613;1.0019821163936868;0.0019801545929049613
txt__forma;0.0019521592022884314;1.0019540659055917;0.0019521592022884314
txt__solucao injetavel;0.0019147458130350237;1.0019165801093495;0.0019147458130350237
txt__sem;-0.0019020676417881963;0.9980997401425111;0.0019020676417881963
txt__folhas;-0.001883835853656128;0.9981179374513923;0.001883835853656128
txt__para consumo;-0.0018645059077816192;0.9981372312035726;0.0018645059077816192
txt__30;0.001860623782155873;1.0018623558166402;0.001860623782155873
txt__ano;-0.0018373855481082786;0.9981643014113615;0.0018373855481082786
txt__creme;0.0018281917377154142;1.0018298638990857;0.0018281917377154142
txt__sodica;0.001825531741047565;1.0018271990385301;0.001825531741047565
txt__acido;0.0018033078711466625;1.0018049348085951;0.0018033078711466625
num__LocalExc;0.001795272588557131;1.0017968850551855;0.001795272588557131
txt__conforme termo;-0.001792979515871653;0.9982086269116599;0.001792979515871653
txt__exclusivo;0.0017445577430760485;1.0017460803692433;0.0017445577430760485
